id	name	coordinates	site_type	time_period_start	time_period_end	time_period_label	description	confidence	sources	wikidata_qid	source_url	retrieved_at
jesus-de-tavarangue	Jesús de Tavarangüé	{"lat":-27.056,"lng":-55.753}					Archaeological site in Paraguay.	90	["Wikidata"]	Q318338	http://www.wikidata.org/entity/Q318338	2026-07-08T10:31:36.248Z
joya-de-ceren	Joya de Cerén	{"lat":13.827494444,"lng":-89.356158333}					Archaeological site in El Salvador.	90	["Wikidata"]	Q27985	http://www.wikidata.org/entity/Q27985	2026-07-08T10:31:36.248Z
kadesh	Kadesh	{"lat":34.5576,"lng":36.52}					Archaeological site in Syria.	90	["Wikidata"]	Q690035	http://www.wikidata.org/entity/Q690035	2026-07-08T10:31:36.248Z
kamarina	Kamarina	{"lat":36.872287,"lng":14.447788}		-598		Founded 598 BCE	Archaeological site in Italy.	90	["Wikidata"]	Q854843	http://www.wikidata.org/entity/Q854843	2026-07-08T10:31:36.248Z
kapilavastu	Kapilavastu	{"lat":27.576455,"lng":83.054978}					Archaeological site in India.	90	["Wikidata"]	Q30610827	http://www.wikidata.org/entity/Q30610827	2026-07-08T10:31:36.248Z
kapova-cave	Kapova Cave	{"lat":53.044444444,"lng":57.063888888}		1965		Founded 1965 CE	Archaeological site in Russia.	90	["Wikidata"]	Q1643788	http://www.wikidata.org/entity/Q1643788	2026-07-08T10:31:36.248Z
karnak-temple-complex	Karnak Temple Complex	{"lat":25.718333333,"lng":32.658333333}		-1899		Founded 1899 BCE	Archaeological site in Egypt.	90	["Wikidata"]	Q522862	http://www.wikidata.org/entity/Q522862	2026-07-08T10:31:36.248Z
kerkouane	Kerkouane	{"lat":36.946388888,"lng":11.099166666}					Archaeological site in Tunisia.	90	["Wikidata"]	Q538061	http://www.wikidata.org/entity/Q538061	2026-07-08T10:31:36.248Z
keros	Keros	{"lat":36.891388888,"lng":25.648611111}					Archaeological site in Greece.	90	["Wikidata"]	Q546109	http://www.wikidata.org/entity/Q546109	2026-07-08T10:31:36.248Z
khirokitia	Khirokitia	{"lat":34.796725,"lng":33.343719444}		-7000		Founded 7000 BCE	Archaeological site in Cyprus.	90	["Wikidata"]	Q385086	http://www.wikidata.org/entity/Q385086	2026-07-08T10:31:36.248Z
klazomenai	Klazomenai	{"lat":38.373889,"lng":26.785278}					Archaeological site in Turkey.	90	["Wikidata"]	Q536598	http://www.wikidata.org/entity/Q536598	2026-07-08T10:31:36.248Z
knidos	Knidos	{"lat":36.685833,"lng":27.375}		-1099		Founded 1099 BCE	Archaeological site in Turkey.	90	["Wikidata"]	Q690575	http://www.wikidata.org/entity/Q690575	2026-07-08T10:31:36.248Z
koh-ker	Koh Ker	{"lat":13.78333333,"lng":104.53333333}					Archaeological site in Cambodia.	90	["Wikidata"]	Q1778458	http://www.wikidata.org/entity/Q1778458	2026-07-08T10:31:36.248Z
kondoa-rock-art-sites	Kondoa Rock Art Sites	{"lat":-4.72444,"lng":35.83389}					Archaeological site in Tanzania.	90	["Wikidata"]	Q1404282	http://www.wikidata.org/entity/Q1404282	2026-07-08T10:31:36.248Z
konigsberg	Königsberg	{"lat":54.711472222,"lng":20.509305555}		1255		Founded 1255 CE	Archaeological site in Nazi Germany.	90	["Wikidata"]	Q4120832	http://www.wikidata.org/entity/Q4120832	2026-07-08T10:31:36.248Z
konigsberg-castle	Königsberg Castle	{"lat":54.710342,"lng":20.509558}		1255		Founded 1255 CE	Archaeological site in Russia.	90	["Wikidata"]	Q571409	http://www.wikidata.org/entity/Q571409	2026-07-08T10:31:36.248Z
konye-urgench	Konye-Urgench	{"lat":42.316666666,"lng":59.158611111}					Archaeological site in Turkmenistan.	90	["Wikidata"]	Q48472	http://www.wikidata.org/entity/Q48472	2026-07-08T10:31:36.248Z
kultepe	Kültepe	{"lat":38.85,"lng":35.633333333}					Archaeological site in Turkey.	90	["Wikidata"]	Q538605	http://www.wikidata.org/entity/Q538605	2026-07-08T10:31:36.248Z
kv2	KV2	{"lat":25.44,"lng":32.36}					Archaeological site in Egypt.	90	["Wikidata"]	Q1347523	http://www.wikidata.org/entity/Q1347523	2026-07-08T10:31:36.248Z
la-santisima-trinidad-del-parana	La Santísima Trinidad del Paraná	{"lat":-27.132,"lng":-55.702}					Archaeological site in Paraguay.	90	["Wikidata"]	Q1366015	http://www.wikidata.org/entity/Q1366015	2026-07-08T10:31:36.248Z
laetoli	Laetoli	{"lat":-2.99622,"lng":35.3524}					Archaeological site in Tanzania.	90	["Wikidata"]	Q672146	http://www.wikidata.org/entity/Q672146	2026-07-08T10:31:36.248Z
lake-bled	Lake Bled	{"lat":46.364444444,"lng":14.094722222}					Archaeological site in Slovenia.	90	["Wikidata"]	Q648902	http://www.wikidata.org/entity/Q648902	2026-07-08T10:31:36.248Z
las-medulas	Las Médulas	{"lat":42.458699,"lng":-6.759002}					Archaeological site in Spain.	90	["Wikidata"]	Q696803	http://www.wikidata.org/entity/Q696803	2026-07-08T10:31:36.248Z
layer-pyramid	Layer Pyramid	{"lat":29.932778,"lng":31.161111}					Archaeological site in Egypt.	90	["Wikidata"]	Q740691	http://www.wikidata.org/entity/Q740691	2026-07-08T10:31:36.248Z
leshan-giant-buddha	Leshan Giant Buddha	{"lat":29.546944444,"lng":103.76925}		803		Founded 803 CE	Archaeological site in People's Republic of China.	90	["Wikidata"]	Q205131	http://www.wikidata.org/entity/Q205131	2026-07-08T10:31:36.248Z
letoon	Letoon	{"lat":36.331944444,"lng":29.289722222}					Archaeological site in Turkey.	90	["Wikidata"]	Q703480	http://www.wikidata.org/entity/Q703480	2026-07-08T10:31:36.248Z
library-of-celsus	Library of Celsus	{"lat":37.939138888,"lng":27.34075}					Archaeological site in Turkey.	90	["Wikidata"]	Q744406	http://www.wikidata.org/entity/Q744406	2026-07-08T10:31:36.248Z
lisht	Lisht	{"lat":29.570277777,"lng":31.231111111}					Archaeological site in Egypt.	90	["Wikidata"]	Q287779	http://www.wikidata.org/entity/Q287779	2026-07-08T10:31:36.248Z
lyceum	Lyceum	{"lat":37.97402,"lng":23.74334}		-334		Founded 334 BCE	Archaeological site in Greece.	90	["Wikidata"]	Q1160664	http://www.wikidata.org/entity/Q1160664	2026-07-08T10:31:36.248Z
m-zab	M'zab	{"lat":32.487222222,"lng":3.681388888}					Archaeological site in Algeria.	90	["Wikidata"]	Q724484	http://www.wikidata.org/entity/Q724484	2026-07-08T10:31:36.248Z
ma-arrat-nu-man	Ma'arrat Nu'man	{"lat":35.643333333,"lng":36.668333333}					Archaeological site in Syria.	90	["Wikidata"]	Q728226	http://www.wikidata.org/entity/Q728226	2026-07-08T10:31:36.248Z
maaloula	Maaloula	{"lat":33.844166666,"lng":36.546666666}					Archaeological site in Syria.	90	["Wikidata"]	Q740804	http://www.wikidata.org/entity/Q740804	2026-07-08T10:31:36.248Z
madinat-al-zahra	Madinat Al-Zahra	{"lat":37.886080468,"lng":-4.867785472}		1000		Founded 1000 CE	Archaeological site in Spain.	90	["Wikidata"]	Q211252	http://www.wikidata.org/entity/Q211252	2026-07-08T10:31:36.248Z
maes-howe	Maes Howe	{"lat":58.9966,"lng":-3.1882}					Archaeological site in United Kingdom.	90	["Wikidata"]	Q507076	http://www.wikidata.org/entity/Q507076	2026-07-08T10:31:36.248Z
maison-carree	Maison Carrée	{"lat":43.838194,"lng":4.356111}					Archaeological site in France.	90	["Wikidata"]	Q677659	http://www.wikidata.org/entity/Q677659	2026-07-08T10:31:36.248Z
manbij	Manbij	{"lat":36.533333333,"lng":37.95}					Archaeological site in Syria.	90	["Wikidata"]	Q1146939	http://www.wikidata.org/entity/Q1146939	2026-07-08T10:31:36.248Z
mangazeya	Mangazeya	{"lat":66.689441,"lng":82.253343}		1601		Founded 1601 CE	Archaeological site in Russia.	90	["Wikidata"]	Q174072	http://www.wikidata.org/entity/Q174072	2026-07-08T10:31:36.248Z
mangup	Mangup	{"lat":44.593055555,"lng":33.801388888}					Archaeological site in Ukraine.	90	["Wikidata"]	Q988400	http://www.wikidata.org/entity/Q988400	2026-07-08T10:31:36.248Z
mantineia	Mantineia	{"lat":37.616619,"lng":22.391896}					Archaeological site in Greece.	90	["Wikidata"]	Q1160195	http://www.wikidata.org/entity/Q1160195	2026-07-08T10:31:36.248Z
margat	Margat	{"lat":35.151111,"lng":35.949167}		1062		Founded 1062 CE	Archaeological site in Syria.	90	["Wikidata"]	Q906516	http://www.wikidata.org/entity/Q906516	2026-07-08T10:31:36.248Z
masada	Masada	{"lat":31.315555555,"lng":35.353888888}					Archaeological site in Israel.	90	["Wikidata"]	Q186312	http://www.wikidata.org/entity/Q186312	2026-07-08T10:31:36.248Z
mausoleum-of-augustus	Mausoleum of Augustus	{"lat":41.90611,"lng":12.47639}		-27		Founded 27 BCE	Archaeological site in Italy.	90	["Wikidata"]	Q770847	http://www.wikidata.org/entity/Q770847	2026-07-08T10:31:36.248Z
mausoleum-of-the-first-qin-emperor	Mausoleum of the First Qin Emperor	{"lat":34.38166667,"lng":109.25388889}					Archaeological site in People's Republic of China.	90	["Wikidata"]	Q910180	http://www.wikidata.org/entity/Q910180	2026-07-08T10:31:36.248Z
mawangdui	Mawangdui	{"lat":28.208611,"lng":113.021667}					Archaeological site in People's Republic of China.	90	["Wikidata"]	Q1196056	http://www.wikidata.org/entity/Q1196056	2026-07-08T10:31:36.248Z
maya-ruins-of-tulum	Maya Ruins of Tulum	{"lat":20.214722222,"lng":-87.428888888}					Archaeological site in Mexico.	90	["Wikidata"]	Q725883	http://www.wikidata.org/entity/Q725883	2026-07-08T10:31:36.248Z
mayapan	Mayapan	{"lat":20.629444444,"lng":-89.460555555}					Archaeological site in Mexico.	90	["Wikidata"]	Q567966	http://www.wikidata.org/entity/Q567966	2026-07-08T10:31:36.248Z
medinet-habu	Medinet Habu	{"lat":25.72,"lng":32.600833}					Archaeological site in Egypt.	90	["Wikidata"]	Q932622	http://www.wikidata.org/entity/Q932622	2026-07-08T10:31:36.248Z
megalithic-temples-of-malta	Megalithic Temples of Malta	{"lat":36.04916667,"lng":14.26944444}		-3599		Founded 3599 BCE	Archaeological site in Malta.	90	["Wikidata"]	Q753383	http://www.wikidata.org/entity/Q753383	2026-07-08T10:31:36.248Z
meidum	Meidum	{"lat":29.372448,"lng":31.172034}					Archaeological site in Egypt.	90	["Wikidata"]	Q1066424	http://www.wikidata.org/entity/Q1066424	2026-07-08T10:31:36.248Z
mendes	Mendes	{"lat":30.956280555,"lng":31.5172}					Archaeological site in Egypt.	90	["Wikidata"]	Q1427162	http://www.wikidata.org/entity/Q1427162	2026-07-08T10:31:36.248Z
mesa-verde-national-park	Mesa Verde National Park	{"lat":37.260375,"lng":-108.494444}		1906		Founded 1906 CE	Archaeological site in United States.	90	["Wikidata"]	Q237128	http://www.wikidata.org/entity/Q237128	2026-07-08T10:31:36.248Z
minaret-of-jam	Minaret of Jam	{"lat":34.396386,"lng":64.515888}		1194		Founded 1194 CE	Archaeological site in Afghanistan.	90	["Wikidata"]	Q192981	http://www.wikidata.org/entity/Q192981	2026-07-08T10:31:36.248Z
mnajdra	Mnajdra	{"lat":35.826666666,"lng":14.436388888}					Archaeological site in Malta.	90	["Wikidata"]	Q584366	http://www.wikidata.org/entity/Q584366	2026-07-08T10:31:36.248Z
mozia	Mozia	{"lat":37.868333333,"lng":12.468611111}					Archaeological site in Italy.	90	["Wikidata"]	Q962184	http://www.wikidata.org/entity/Q962184	2026-07-08T10:31:36.248Z
myra	Myra	{"lat":36.259166666,"lng":29.985277777}					Archaeological site in Turkey.	90	["Wikidata"]	Q652024	http://www.wikidata.org/entity/Q652024	2026-07-08T10:31:36.248Z
mystras	Mystras	{"lat":37.074,"lng":22.3673}					Archaeological site in Greece.	90	["Wikidata"]	Q19053	http://www.wikidata.org/entity/Q19053	2026-07-08T10:31:36.248Z
nalanda-mahavihara	Nalanda Mahavihara	{"lat":25.136797222,"lng":85.443827777}					Archaeological site in India.	90	["Wikidata"]	Q216243	http://www.wikidata.org/entity/Q216243	2026-07-08T10:31:36.248Z
naqada	Naqada	{"lat":25.901666666,"lng":32.724166666}					Archaeological site in Egypt.	90	["Wikidata"]	Q959859	http://www.wikidata.org/entity/Q959859	2026-07-08T10:31:36.248Z
naqsh-e-rustam	Naqsh-e Rustam	{"lat":29.988888888,"lng":52.874722222}					Archaeological site in Iran.	90	["Wikidata"]	Q648705	http://www.wikidata.org/entity/Q648705	2026-07-08T10:31:36.248Z
naucratis	Naucratis	{"lat":30.9,"lng":30.616667}					Archaeological site in Egypt.	90	["Wikidata"]	Q137721	http://www.wikidata.org/entity/Q137721	2026-07-08T10:31:36.248Z
nekhen	Nekhen	{"lat":25.097222222,"lng":32.779444444}					Archaeological site in Egypt.	90	["Wikidata"]	Q278988	http://www.wikidata.org/entity/Q278988	2026-07-08T10:31:36.248Z
nemea	Nemea	{"lat":37.808962,"lng":22.710279}					Archaeological site in Greece.	90	["Wikidata"]	Q748108	http://www.wikidata.org/entity/Q748108	2026-07-08T10:31:36.248Z
nemrut	Nemrut	{"lat":38.62257,"lng":42.24668}					Archaeological site in Turkey.	90	["Wikidata"]	Q948747	http://www.wikidata.org/entity/Q948747	2026-07-08T10:31:36.248Z
niah-national-park	Niah National Park	{"lat":3.813889,"lng":113.781389}		1974		Founded 1974 CE	Archaeological site in Malaysia.	90	["Wikidata"]	Q1984562	http://www.wikidata.org/entity/Q1984562	2026-07-08T10:31:36.248Z
nicomedia	Nicomedia	{"lat":40.7625,"lng":29.9175}		-263		Founded 263 BCE	Archaeological site in Turkey.	90	["Wikidata"]	Q209349	http://www.wikidata.org/entity/Q209349	2026-07-08T10:31:36.248Z
nicopolis	Nicopolis	{"lat":39.00933,"lng":20.73353}		-28		Founded 28 BCE	Archaeological site in Greece.	90	["Wikidata"]	Q943637	http://www.wikidata.org/entity/Q943637	2026-07-08T10:31:36.248Z
nisa	Nisa	{"lat":37.951147222,"lng":58.212408333}					Archaeological site in Turkmenistan.	90	["Wikidata"]	Q854672	http://www.wikidata.org/entity/Q854672	2026-07-08T10:31:36.248Z
north-acomita-village	North Acomita Village	{"lat":35.067777777,"lng":-107.565277777}					Archaeological site in United States.	90	["Wikidata"]	Q1237840	http://www.wikidata.org/entity/Q1237840	2026-07-08T10:31:36.248Z
nuzi	Nuzi	{"lat":35.302494444,"lng":44.247622222}					Archaeological site in Iraq.	90	["Wikidata"]	Q584605	http://www.wikidata.org/entity/Q584605	2026-07-08T10:31:36.248Z
offa-s-dyke	Offa's Dyke	{"lat":52.344,"lng":-3.049}					Archaeological site in United Kingdom.	90	["Wikidata"]	Q1127343	http://www.wikidata.org/entity/Q1127343	2026-07-08T10:31:36.248Z
olbia	Olbia	{"lat":46.7,"lng":31.9}		-700		Founded 700 BCE	Archaeological site in Ukraine.	90	["Wikidata"]	Q1143233	http://www.wikidata.org/entity/Q1143233	2026-07-08T10:31:36.248Z
olynthus	Olynthus	{"lat":40.29275,"lng":23.354527777}					Archaeological site in Greece.	90	["Wikidata"]	Q1141669	http://www.wikidata.org/entity/Q1141669	2026-07-08T10:31:36.248Z
our-lady-of-promise	Our Lady of Promise	{"lat":42.211388888,"lng":20.735833333}					Archaeological site in Serbia.	90	["Wikidata"]	Q890652	http://www.wikidata.org/entity/Q890652	2026-07-08T10:31:36.248Z
oxyrhynchus	Oxyrhynchus	{"lat":28.53611111,"lng":30.65555556}					Archaeological site in Egypt.	90	["Wikidata"]	Q622640	http://www.wikidata.org/entity/Q622640	2026-07-08T10:31:36.248Z
paestum	Paestum	{"lat":40.422631,"lng":15.005569}		-599		Founded 599 BCE	Archaeological site in Italy.	90	["Wikidata"]	Q329967	http://www.wikidata.org/entity/Q329967	2026-07-08T10:31:36.248Z
palatine-hill	Palatine Hill	{"lat":41.888333333,"lng":12.486944444}					Archaeological site in Italy.	90	["Wikidata"]	Q200642	http://www.wikidata.org/entity/Q200642	2026-07-08T10:31:36.248Z
panama-viejo	Panamá Viejo	{"lat":9.0068286,"lng":-79.485149}					Archaeological site in Panama.	90	["Wikidata"]	Q712335	http://www.wikidata.org/entity/Q712335	2026-07-08T10:31:36.248Z
patara	Patara	{"lat":36.260278,"lng":29.314167}		-800		Founded 800 BCE	Archaeological site in Turkey.	90	["Wikidata"]	Q233121	http://www.wikidata.org/entity/Q233121	2026-07-08T10:31:36.248Z
pattadakal-group-of-monuments	Pattadakal Group of Monuments	{"lat":15.948333333,"lng":75.816666666}		800		Founded 800 CE	Archaeological site in India.	90	["Wikidata"]	Q817250	http://www.wikidata.org/entity/Q817250	2026-07-08T10:31:36.248Z
pella	Pella	{"lat":40.760033,"lng":22.525642}					Archaeological site in Greece.	90	["Wikidata"]	Q213679	http://www.wikidata.org/entity/Q213679	2026-07-08T10:31:36.248Z
pella-q167993	Pella	{"lat":32.450001,"lng":35.616669}					Archaeological site in Jordan.	90	["Wikidata"]	Q167993	http://www.wikidata.org/entity/Q167993	2026-07-08T10:31:36.248Z
pembroke-castle	Pembroke Castle	{"lat":51.676944444,"lng":-4.920555555}		1093		Founded 1093 CE	Archaeological site in United Kingdom.	90	["Wikidata"]	Q1422235	http://www.wikidata.org/entity/Q1422235	2026-07-08T10:31:36.248Z
perge	Perge	{"lat":36.962229,"lng":30.855068}		-999		Founded 999 BCE	Archaeological site in Turkey.	90	["Wikidata"]	Q719815	http://www.wikidata.org/entity/Q719815	2026-07-08T10:31:36.248Z
perperikon	Perperikon	{"lat":41.714722,"lng":25.465278}					Archaeological site in Bulgaria.	90	["Wikidata"]	Q1943549	http://www.wikidata.org/entity/Q1943549	2026-07-08T10:31:36.248Z
phaistos	Phaistos	{"lat":35.05123,"lng":24.814267}		-3000		Founded 3000 BCE	Archaeological site in Greece.	90	["Wikidata"]	Q249707	http://www.wikidata.org/entity/Q249707	2026-07-08T10:31:36.248Z
phanagoria	Phanagoria	{"lat":45.278059,"lng":36.974881}		-542		Founded 542 BCE	Archaeological site in Russia.	90	["Wikidata"]	Q1344411	http://www.wikidata.org/entity/Q1344411	2026-07-08T10:31:36.248Z
pharaoh-s-island	Pharaoh's Island	{"lat":29.462838888,"lng":34.86005}					Archaeological site in Egypt.	90	["Wikidata"]	Q933219	http://www.wikidata.org/entity/Q933219	2026-07-08T10:31:36.248Z
phocaea	Phocaea	{"lat":38.6675,"lng":26.758055555}					Archaeological site in Turkey.	90	["Wikidata"]	Q428732	http://www.wikidata.org/entity/Q428732	2026-07-08T10:31:36.248Z
pi-ramesses	Pi-Ramesses	{"lat":30.79937,"lng":31.834217}		-1277		Founded 1277 BCE	Archaeological site in Egypt.	90	["Wikidata"]	Q937930	http://www.wikidata.org/entity/Q937930	2026-07-08T10:31:36.248Z
plain-of-jars	Plain of Jars	{"lat":19.431111111,"lng":103.1525}					Archaeological site in Laos.	90	["Wikidata"]	Q870258	http://www.wikidata.org/entity/Q870258	2026-07-08T10:31:36.248Z
platonic-academy	Platonic Academy	{"lat":37.992359,"lng":23.708059}		-386		Founded 386 BCE	Archaeological site in Greece.	90	["Wikidata"]	Q193093	http://www.wikidata.org/entity/Q193093	2026-07-08T10:31:36.248Z
pnyx	Pnyx	{"lat":37.971666666,"lng":23.719444444}					Archaeological site in Greece.	90	["Wikidata"]	Q1125096	http://www.wikidata.org/entity/Q1125096	2026-07-08T10:31:36.248Z
poggiomarino	Poggiomarino	{"lat":40.8,"lng":14.55}					Archaeological site in Italy.	90	["Wikidata"]	Q72356	http://www.wikidata.org/entity/Q72356	2026-07-08T10:31:36.248Z
pool-of-bethesda	Pool of Bethesda	{"lat":31.781388888,"lng":35.235833333}					Archaeological site in Israel.	90	["Wikidata"]	Q831297	http://www.wikidata.org/entity/Q831297	2026-07-08T10:31:36.248Z
porta-maggiore	Porta Maggiore	{"lat":41.8914573,"lng":12.5152419}					Archaeological site in Italy.	90	["Wikidata"]	Q751318	http://www.wikidata.org/entity/Q751318	2026-07-08T10:31:36.248Z
postojna-cave	Postojna Cave	{"lat":45.78276,"lng":14.20366}					Archaeological site in Slovenia.	90	["Wikidata"]	Q15903	http://www.wikidata.org/entity/Q15903	2026-07-08T10:31:36.248Z
preah-vihear-temple	Preah Vihear Temple	{"lat":14.390555555,"lng":104.680277777}		893		Founded 893 CE	Archaeological site in Cambodia.	90	["Wikidata"]	Q45949	http://www.wikidata.org/entity/Q45949	2026-07-08T10:31:36.248Z
prehistoric-rock-art-sites-in-the-coa-valley	Prehistoric Rock Art Sites in the Côa Valley	{"lat":41.03333333,"lng":-7.11666667}					Archaeological site in Portugal.	90	["Wikidata"]	Q552106	http://www.wikidata.org/entity/Q552106	2026-07-08T10:31:36.248Z
priene	Priene	{"lat":37.659722,"lng":27.297778}		-999		Founded 999 BCE	Archaeological site in Turkey.	90	["Wikidata"]	Q142819	http://www.wikidata.org/entity/Q142819	2026-07-08T10:31:36.248Z
pula-arena	Pula Arena	{"lat":44.873,"lng":13.85}		-26		Founded 26 BCE	Archaeological site in Croatia.	90	["Wikidata"]	Q474998	http://www.wikidata.org/entity/Q474998	2026-07-08T10:31:36.248Z
pumapunku	Pumapunku	{"lat":-16.561388888,"lng":-68.679444444}					Archaeological site in Bolivia.	90	["Wikidata"]	Q665223	http://www.wikidata.org/entity/Q665223	2026-07-08T10:31:36.248Z
pyramid-of-cestius	Pyramid of Cestius	{"lat":41.876489,"lng":12.480898}		-11		Founded 11 BCE	Archaeological site in Italy.	90	["Wikidata"]	Q725404	http://www.wikidata.org/entity/Q725404	2026-07-08T10:31:36.248Z
pyramid-of-djoser	Pyramid of Djoser	{"lat":29.871111111,"lng":31.216666666}		-2639		Founded 2639 BCE	Archaeological site in Egypt.	90	["Wikidata"]	Q192418	http://www.wikidata.org/entity/Q192418	2026-07-08T10:31:36.248Z
pyramid-of-khafre	Pyramid of Khafre	{"lat":29.976,"lng":31.130972}					Archaeological site in Egypt.	90	["Wikidata"]	Q208358	http://www.wikidata.org/entity/Q208358	2026-07-08T10:31:36.248Z
pyramid-of-menkaure	Pyramid of Menkaure	{"lat":29.9725,"lng":31.128333}		-2510		Founded 2510 BCE	Archaeological site in Egypt.	90	["Wikidata"]	Q238623	http://www.wikidata.org/entity/Q238623	2026-07-08T10:31:36.248Z
pyramid-of-sahure	Pyramid of Sahure	{"lat":29.897777777,"lng":31.203333333}		-2480		Founded 2480 BCE	Archaeological site in Egypt.	90	["Wikidata"]	Q131820	http://www.wikidata.org/entity/Q131820	2026-07-08T10:31:36.248Z
pyramid-of-the-moon	Pyramid of the Moon	{"lat":19.6996,"lng":-98.844}					Archaeological site in Mexico.	90	["Wikidata"]	Q29240	http://www.wikidata.org/entity/Q29240	2026-07-08T10:31:36.248Z
pyramid-of-the-sun	Pyramid of the Sun	{"lat":19.6925,"lng":-98.8438}					Archaeological site in Mexico.	90	["Wikidata"]	Q29238	http://www.wikidata.org/entity/Q29238	2026-07-08T10:31:36.248Z
pyramids-of-guimar	Pyramids of Güímar	{"lat":28.320833333,"lng":-16.413611111}					Archaeological site in Spain.	90	["Wikidata"]	Q619588	http://www.wikidata.org/entity/Q619588	2026-07-08T10:31:36.248Z
qal-at-bani-hammad	Qal'at Bani Hammad	{"lat":35.813888888,"lng":4.793333333}		1007		Founded 1007 CE	Archaeological site in Algeria.	90	["Wikidata"]	Q500367	http://www.wikidata.org/entity/Q500367	2026-07-08T10:31:36.248Z
qatna	Qatna	{"lat":34.835,"lng":36.865833333}		-3299		Founded 3299 BCE	Archaeological site in Syria.	90	["Wikidata"]	Q630734	http://www.wikidata.org/entity/Q630734	2026-07-08T10:31:36.248Z
qift	Qift	{"lat":26,"lng":32.816666666}					Archaeological site in Egypt.	90	["Wikidata"]	Q935454	http://www.wikidata.org/entity/Q935454	2026-07-08T10:31:36.248Z
qumran	Qumran	{"lat":31.741900825,"lng":35.459944301}		-103		Founded 103 BCE	Archaeological site in Palestine.	90	["Wikidata"]	Q223399	http://www.wikidata.org/entity/Q223399	2026-07-08T10:31:36.248Z
ramesseum	Ramesseum	{"lat":25.727777777,"lng":32.610555555}					Archaeological site in Egypt.	90	["Wikidata"]	Q311581	http://www.wikidata.org/entity/Q311581	2026-07-08T10:31:36.248Z
red-pyramid	Red Pyramid	{"lat":29.808333333,"lng":31.205833333}		-2589		Founded 2589 BCE	Archaeological site in Egypt.	90	["Wikidata"]	Q135332	http://www.wikidata.org/entity/Q135332	2026-07-08T10:31:36.248Z
ring-of-brodgar	Ring of Brodgar	{"lat":59.0014818,"lng":-3.2297227}					Archaeological site in United Kingdom.	90	["Wikidata"]	Q643631	http://www.wikidata.org/entity/Q643631	2026-07-08T10:31:36.248Z
rock-carvings-in-tanum	Rock Carvings in Tanum	{"lat":58.69995,"lng":11.33641}					Archaeological site in Sweden.	90	["Wikidata"]	Q1761052	http://www.wikidata.org/entity/Q1761052	2026-07-08T10:31:36.248Z
rock-of-cashel	Rock of Cashel	{"lat":52.52,"lng":-7.89}					Archaeological site in Ireland.	90	["Wikidata"]	Q1255597	http://www.wikidata.org/entity/Q1255597	2026-07-08T10:31:36.248Z
rock-paintings-of-hua-mountain	Rock Paintings of Hua Mountain	{"lat":22.248327,"lng":107.042276}					Archaeological site in People's Republic of China.	90	["Wikidata"]	Q1632877	http://www.wikidata.org/entity/Q1632877	2026-07-08T10:31:36.248Z
roman-amphitheatre-of-durres	Roman amphitheatre of Durrës	{"lat":41.312191,"lng":19.445263}					Archaeological site in Albania.	90	["Wikidata"]	Q779868	http://www.wikidata.org/entity/Q779868	2026-07-08T10:31:36.248Z
roman-forum	Roman Forum	{"lat":41.8922,"lng":12.4852}		-800		Founded 800 BCE	Archaeological site in Italy.	90	["Wikidata"]	Q180212	http://www.wikidata.org/entity/Q180212	2026-07-08T10:31:36.248Z
rostra	rostra	{"lat":41.892638888,"lng":12.484611111}					Archaeological site in Italy.	90	["Wikidata"]	Q426372	http://www.wikidata.org/entity/Q426372	2026-07-08T10:31:36.248Z
salt	Salt	{"lat":32.039166666,"lng":35.727222222}					Archaeological site in Jordan.	90	["Wikidata"]	Q867586	http://www.wikidata.org/entity/Q867586	2026-07-08T10:31:36.248Z
samannud	Samannud	{"lat":30.96222222,"lng":31.2425}					Archaeological site in Egypt.	90	["Wikidata"]	Q1243772	http://www.wikidata.org/entity/Q1243772	2026-07-08T10:31:36.248Z
sambor-prei-kuk	Sambor Prei Kuk	{"lat":12.867283,"lng":105.040025}					Archaeological site in Cambodia.	90	["Wikidata"]	Q1818746	http://www.wikidata.org/entity/Q1818746	2026-07-08T10:31:36.248Z
sammallahdenmaki	Sammallahdenmäki	{"lat":61.11767375,"lng":21.7751687}					Archaeological site in Finland.	90	["Wikidata"]	Q239748	http://www.wikidata.org/entity/Q239748	2026-07-08T10:31:36.248Z
samosata	Samosata	{"lat":37.57955,"lng":38.481316666}					Archaeological site in Turkey.	90	["Wikidata"]	Q1026347	http://www.wikidata.org/entity/Q1026347	2026-07-08T10:31:36.248Z
san-ignacio-mini	San Ignacio Miní	{"lat":-27.255306,"lng":-55.5315}					Archaeological site in Argentina.	90	["Wikidata"]	Q868799	http://www.wikidata.org/entity/Q868799	2026-07-08T10:31:36.248Z
sangiran	Sangiran	{"lat":-7.45,"lng":110.85}					Archaeological site in Indonesia.	90	["Wikidata"]	Q842328	http://www.wikidata.org/entity/Q842328	2026-07-08T10:31:36.248Z
saqqara	Saqqara	{"lat":29.85,"lng":31.233333333}					Archaeological site in Egypt.	90	["Wikidata"]	Q192134	http://www.wikidata.org/entity/Q192134	2026-07-08T10:31:36.248Z
saqsaywaman	Saqsaywaman	{"lat":-13.507778,"lng":-71.982222}					Archaeological site in Peru.	90	["Wikidata"]	Q828336	http://www.wikidata.org/entity/Q828336	2026-07-08T10:31:36.248Z
